,pdf_url,save_path
15,https://cgbse.nic.in/Documents/2020/assignment/12th/Maths_12th_Nov.pdf,../cgbse/123456789_sbchhattisgarh_988857?e=4|*|||.pdf
16,https://cgbse.nic.in/Documents/2020/assignment/12th/Maths_12th_Oct.pdf,../cgbse/123456789_sbchhattisgarh_988871?e=5|*|||.pdf
17,https://cgbse.nic.in/Documents/2020/assignment/12th/Maths_12th_Sep.pdf,../cgbse/123456789_sbchhattisgarh_988885?e=6|*|||.pdf
18,https://cgbse.nic.in/Documents/2021/assignment/10th/Sep-Mat1.pdf,../cgbse/123456789_sbchhattisgarh_988894?e=7|*|||.pdf
19,https://cgbse.nic.in/Documents/2021/assignment/10th/Sep-Mat.pdf,../cgbse/123456789_sbchhattisgarh_988899?e=8|*|||.pdf
20,https://cgbse.nic.in/Documents/2021/assignment/12th/Maths_12th_Sep1.pdf,../cgbse/123456789_sbchhattisgarh_988909?e=9|*|||.pdf
21,https://cgbse.nic.in/Documents/2021/assignment/12th/Maths_12th_Sep.pdf,../cgbse/123456789_sbchhattisgarh_988923?e=10|*|||.pdf
22,https://cgbse.nic.in/Documents/MQP/qp12/2019/410.pdf,../cgbse/123456789_sbchhattisgarh_988983?e=11|*|||.pdf
23,https://cgbse.nic.in/Documents/MQP/qp12/204-Set-B.pdf,../cgbse/123456789_sbchhattisgarh_989001?e=12|*|||.pdf
24,https://cgbse.nic.in/Documents/MQP/qp12/204-Set-C.pdf,../cgbse/123456789_sbchhattisgarh_989002?e=13|*|||.pdf
25,https://scert.cg.gov.in/pdf/sla2019-20/FA1-201920-ALL/Maths/MATHS%20CLASS-1%20-%20FA.pdf,../scert_cg/123456789_scertchhattisgarh_990254?e=14|*|||.pdf
26,https://scert.cg.gov.in/pdf/sla2019-20/FA1-201920-ALL/Maths/MATHS%20CLASS%20-2%20FA.pdf,../scert_cg/123456789_scertchhattisgarh_990255?e=15|*|||.pdf
27,https://scert.cg.gov.in/pdf/sla2019-20/FA1-201920-ALL/Maths/MATHS%20CLASS%20-3%20FA.pdf,../scert_cg/123456789_scertchhattisgarh_990256?e=16|*|||.pdf
28,https://scert.cg.gov.in/pdf/sla2019-20/FA1-201920-ALL/Maths/MATHS%20CLASS%20-4%20FA.pdf,../scert_cg/123456789_scertchhattisgarh_990257?e=17|*|||.pdf
29,https://scert.cg.gov.in/pdf/sla2019-20/FA1-201920-ALL/Maths/MATHS%20CLASS%20-%205%20FA.pdf,../scert_cg/123456789_scertchhattisgarh_990258?e=18|*|||.pdf
